 AUSTENITE DECOMPOSITION MODEL
 RESULTS: for grain size=  40.0
  time steps        cooling rate, oC/s ("+" = cooling; "-" = heating)
    1 -   29700             27.00
29701 -   30900             -1.00
30901 -  172300              7.00
***** -  172362              0.00
***** -  173562              2.00
***** -  174426              0.00
***** -  174428              0.00
***** -  174430              0.00
***** -  174432              0.00
***** -  174434              0.00
***** -  174436              0.00
***** -  174438              0.00
***** -  174440              0.00
***** -  174442              0.00
***** -  174444              0.00
***** -  174446              0.00
***** -  174448              0.00
***** -  174450              0.00
***** -  174452              0.00
***** -  174454              0.00
***** -  174456              0.00
***** -  174458              0.00
***** -  174460              0.00
***** -  174462              0.00
***** -  174464              0.00
***** -  174466              0.00
***** -  174468              0.00
***** -  174470              0.00
***** -  174472              0.00
***** -  174474              0.00
***** - 1000000              0.00

 Temperatures  Ae1 = 753.7     Ae3 = 805.8


 Transformation start temperature = 805.8

   no  time  X   F      X0 temp 100Ca  Cg  Cag  Cgb  Ie8   G    Re4  De6
    FERRITIC TRANSFORMATION BEGINS 000  -0.278 805.750
 1425    0   0.50.000.00 IF     806.
    BAINITIC TRANSFORMATION BEGINS 000    0.929 590.910
    BAINITIC TRANSFORMATION BEGINS        1.051 523.240
    MARTENSITE TRANSFORMATION BEGINS AT  50.553 342.130oC
50187   50.6 0.64 0.61 M      342.1
50188   50.6 0.64 0.61 M      342.1
50189   50.6 0.64 0.61 M      342.1
50190   50.6 0.64 0.61 M      342.1
50191   50.6 0.64 0.61 M      342.1
50192   50.6 0.64 0.61 M      342.1
50193   50.6 0.64 0.61 M      342.1
50194   50.6 0.64 0.61 M      342.1
50195   50.6 0.64 0.61 M      342.1
50196   50.6 0.64 0.61 M      342.0
50197   50.6 0.64 0.61 M      342.0
50198   50.6 0.64 0.61 M      342.0
50199   50.6 0.64 0.61 M      342.0
50200   50.6 0.64 0.61 M      342.0
50201   50.6 0.64 0.61 M      342.0
50202   50.6 0.64 0.61 M      342.0
50203   50.6 0.64 0.61 M      342.0
50204   50.6 0.64 0.61 M      342.0
50205   50.6 0.64 0.61 M      342.0
50206   50.6 0.64 0.61 M      341.9
50207   50.6 0.64 0.61 M      341.9
50208   50.6 0.64 0.61 M      341.9
50209   50.6 0.64 0.61 M      341.9
50210   50.6 0.64 0.61 M      341.9
50211   50.6 0.64 0.61 M      341.9
50212   50.6 0.64 0.61 M      341.9
50213   50.6 0.64 0.61 M      341.9
50214   50.6 0.64 0.61 M      341.9
50215   50.6 0.64 0.61 M      341.9
50216   50.6 0.64 0.61 M      341.8
50217   50.6 0.64 0.61 M      341.8
50218   50.6 0.64 0.61 M      341.8
50219   50.6 0.64 0.61 M      341.8
50220   50.6 0.64 0.61 M      341.8
50221   50.6 0.64 0.61 M      341.8
50222   50.6 0.64 0.61 M      341.8
50223   50.6 0.64 0.61 M      341.8
50224   50.6 0.64 0.61 M      341.8
50225   50.6 0.64 0.61 M      341.8
50226   50.6 0.64 0.61 M      341.7
50227   50.6 0.64 0.61 M      341.7
50228   50.6 0.64 0.61 M      341.7
50229   50.6 0.64 0.61 M      341.7
50230   50.6 0.64 0.61 M      341.7
50231   50.6 0.64 0.61 M      341.7
50232   50.6 0.64 0.61 M      341.7
50233   50.6 0.64 0.61 M      341.7
50234   50.6 0.64 0.61 M      341.7
50235   50.6 0.64 0.61 M      341.7
50236   50.6 0.64 0.61 M      341.6
50237   50.6 0.64 0.61 M      341.6
50238   50.6 0.64 0.61 M      341.6
50239   50.6 0.64 0.61 M      341.6
50240   50.6 0.64 0.61 M      341.6
50241   50.6 0.64 0.61 M      341.6
50242   50.6 0.64 0.61 M      341.6
50243   50.6 0.64 0.61 M      341.6
50244   50.6 0.64 0.61 M      341.6
50245   50.6 0.64 0.61 M      341.6
50246   50.6 0.64 0.61 M      341.5
50247   50.6 0.64 0.61 M      341.5
50248   50.6 0.64 0.61 M      341.5
50249   50.6 0.64 0.61 M      341.5
50250   50.6 0.64 0.61 M      341.5
50251   50.6 0.64 0.61 M      341.5
50252   50.6 0.64 0.61 M      341.5
50253   50.6 0.64 0.61 M      341.5
50254   50.6 0.64 0.61 M      341.5
50255   50.6 0.64 0.61 M      341.5
50256   50.7 0.64 0.61 M      341.4
50257   50.7 0.64 0.61 M      341.4
50258   50.7 0.64 0.61 M      341.4
50259   50.7 0.64 0.61 M      341.4
50260   50.7 0.64 0.61 M      341.4
50261   50.7 0.64 0.61 M      341.4
50262   50.7 0.64 0.61 M      341.4
50263   50.7 0.64 0.61 M      341.4
50264   50.7 0.64 0.61 M      341.4
50265   50.7 0.64 0.61 M      341.4
50266   50.7 0.64 0.61 M      341.3
50267   50.7 0.64 0.61 M      341.3
50268   50.7 0.64 0.61 M      341.3
50269   50.7 0.64 0.61 M      341.3
50270   50.7 0.64 0.61 M      341.3
50271   50.7 0.64 0.61 M      341.3
50272   50.7 0.64 0.61 M      341.3
50273   50.7 0.64 0.61 M      341.3
50274   50.7 0.64 0.61 M      341.3
50275   50.7 0.64 0.61 M      341.3
50276   50.7 0.64 0.61 M      341.2
50277   50.7 0.64 0.61 M      341.2
50278   50.7 0.64 0.61 M      341.2
50279   50.7 0.64 0.61 M      341.2
50280   50.7 0.64 0.61 M      341.2
50281   50.7 0.64 0.61 M      341.2
50282   50.7 0.64 0.61 M      341.2
50283   50.7 0.64 0.61 M      341.2
50284   50.7 0.64 0.61 M      341.2
50285   50.7 0.64 0.61 M      341.2
50286   50.7 0.64 0.61 M      341.1
50287   50.7 0.64 0.61 M      341.1
50288   50.7 0.64 0.61 M      341.1
50289   50.7 0.64 0.61 M      341.1
50290   50.7 0.64 0.61 M      341.1
50291   50.7 0.64 0.61 M      341.1
50292   50.7 0.64 0.61 M      341.1
50293   50.7 0.64 0.61 M      341.1
50294   50.7 0.64 0.61 M      341.1
50295   50.7 0.64 0.61 M      341.1
50296   50.7 0.64 0.61 M      341.0
50297   50.7 0.64 0.61 M      341.0
50298   50.7 0.64 0.61 M      341.0
50299   50.7 0.64 0.61 M      341.0
50300   50.7 0.64 0.61 M      341.0
50301   50.7 0.64 0.61 M      341.0
50302   50.7 0.64 0.61 M      341.0
50303   50.7 0.64 0.61 M      341.0
50304   50.7 0.64 0.61 M      341.0
50305   50.7 0.64 0.61 M      341.0
50306   50.7 0.64 0.61 M      340.9
50307   50.7 0.64 0.61 M      340.9
50308   50.7 0.64 0.61 M      340.9
50309   50.7 0.64 0.61 M      340.9
50310   50.7 0.64 0.61 M      340.9
50311   50.7 0.64 0.61 M      340.9
50312   50.7 0.64 0.61 M      340.9
50313   50.7 0.64 0.61 M      340.9
50314   50.7 0.64 0.61 M      340.9
50315   50.7 0.64 0.61 M      340.9
50316   50.7 0.64 0.61 M      340.8
50317   50.7 0.64 0.61 M      340.8
50318   50.7 0.64 0.61 M      340.8
50319   50.7 0.64 0.61 M      340.8
50320   50.7 0.64 0.61 M      340.8
50321   50.7 0.64 0.61 M      340.8
50322   50.7 0.64 0.61 M      340.8
50323   50.7 0.64 0.61 M      340.8
50324   50.7 0.64 0.61 M      340.8
50325   50.7 0.64 0.61 M      340.8
50326   50.8 0.64 0.61 M      340.7
50327   50.8 0.64 0.61 M      340.7
50328   50.8 0.64 0.61 M      340.7
50329   50.8 0.64 0.61 M      340.7
50330   50.8 0.64 0.61 M      340.7
50331   50.8 0.64 0.61 M      340.7
50332   50.8 0.64 0.61 M      340.7
50333   50.8 0.64 0.61 M      340.7
50334   50.8 0.64 0.61 M      340.7
50335   50.8 0.64 0.61 M      340.7
50336   50.8 0.64 0.61 M      340.6
50337   50.8 0.64 0.61 M      340.6
50338   50.8 0.64 0.61 M      340.6
50339   50.8 0.64 0.61 M      340.6
50340   50.8 0.64 0.61 M      340.6
50341   50.8 0.64 0.61 M      340.6
50342   50.8 0.64 0.61 M      340.6
50343   50.8 0.64 0.61 M      340.6
50344   50.8 0.64 0.61 M      340.6
50345   50.8 0.64 0.61 M      340.6
50346   50.8 0.64 0.61 M      340.5
50347   50.8 0.64 0.61 M      340.5
50348   50.8 0.64 0.61 M      340.5
50349   50.8 0.64 0.61 M      340.5
50350   50.8 0.64 0.61 M      340.5
50351   50.8 0.64 0.61 M      340.5
50352   50.8 0.64 0.61 M      340.5
50353   50.8 0.64 0.61 M      340.5
50354   50.8 0.64 0.61 M      340.5
50355   50.8 0.64 0.61 M      340.5
50356   50.8 0.64 0.61 M      340.4
50357   50.8 0.64 0.61 M      340.4
50358   50.8 0.64 0.61 M      340.4
50359   50.8 0.64 0.61 M      340.4
50360   50.8 0.64 0.61 M      340.4
50361   50.8 0.64 0.61 M      340.4
50362   50.8 0.64 0.61 M      340.4
50363   50.8 0.64 0.61 M      340.4
50364   50.8 0.65 0.61 M      340.4
50365   50.8 0.65 0.61 M      340.4
50366   50.8 0.65 0.61 M      340.3
50367   50.8 0.65 0.61 M      340.3
50368   50.8 0.65 0.61 M      340.3
50369   50.8 0.65 0.61 M      340.3
50370   50.8 0.65 0.61 M      340.3
50371   50.8 0.65 0.61 M      340.3
50372   50.8 0.65 0.61 M      340.3
50373   50.8 0.65 0.61 M      340.3
50374   50.8 0.65 0.61 M      340.3
50375   50.8 0.65 0.61 M      340.3
50376   50.8 0.65 0.61 M      340.2
50377   50.8 0.65 0.61 M      340.2
50378   50.8 0.65 0.61 M      340.2
50379   50.8 0.65 0.61 M      340.2
50380   50.8 0.65 0.61 M      340.2
50381   50.8 0.65 0.61 M      340.2
50382   50.8 0.65 0.61 M      340.2
50383   50.8 0.65 0.61 M      340.2
50384   50.8 0.65 0.61 M      340.2
50385   50.8 0.65 0.61 M      340.2
50386   50.8 0.65 0.61 M      340.1
50387   50.8 0.65 0.61 M      340.1
50388   50.8 0.65 0.61 M      340.1
50389   50.8 0.65 0.61 M      340.1
50390   50.8 0.65 0.61 M      340.1
50391   50.8 0.65 0.61 M      340.1
50392   50.8 0.65 0.61 M      340.1
50393   50.8 0.65 0.61 M      340.1
50394   50.8 0.65 0.61 M      340.1
50395   50.8 0.65 0.61 M      340.1
50396   50.9 0.65 0.61 M      340.0
50397   50.9 0.65 0.61 M      340.0
50398   50.9 0.65 0.61 M      340.0
50399   50.9 0.65 0.61 M      340.0
50400   50.9 0.65 0.61 M      340.0
50401   50.9 0.65 0.61 M      340.0
50402   50.9 0.65 0.61 M      340.0
50403   50.9 0.65 0.61 M      340.0
50404   50.9 0.65 0.61 M      340.0
50405   50.9 0.65 0.61 M      340.0
50406   50.9 0.65 0.61 M      339.9
50407   50.9 0.65 0.61 M      339.9
50408   50.9 0.65 0.61 M      339.9
50409   50.9 0.65 0.61 M      339.9
50410   50.9 0.65 0.61 M      339.9
50411   50.9 0.65 0.61 M      339.9
50412   50.9 0.65 0.61 M      339.9
50413   50.9 0.65 0.61 M      339.9
50414   50.9 0.65 0.61 M      339.9
50415   50.9 0.65 0.61 M      339.9
50416   50.9 0.65 0.61 M      339.8
50417   50.9 0.65 0.61 M      339.8
50418   50.9 0.65 0.61 M      339.8
50419   50.9 0.65 0.61 M      339.8
50420   50.9 0.65 0.61 M      339.8
50421   50.9 0.65 0.61 M      339.8
50422   50.9 0.65 0.61 M      339.8
50423   50.9 0.65 0.61 M      339.8
50424   50.9 0.65 0.61 M      339.8
50425   50.9 0.65 0.61 M      339.8
50426   50.9 0.65 0.61 M      339.7
50427   50.9 0.65 0.61 M      339.7
50428   50.9 0.65 0.61 M      339.7
50429   50.9 0.65 0.61 M      339.7
50430   50.9 0.65 0.61 M      339.7
50431   50.9 0.65 0.61 M      339.7
50432   50.9 0.65 0.61 M      339.7
50433   50.9 0.65 0.61 M      339.7
50434   50.9 0.65 0.61 M      339.7
50435   50.9 0.65 0.61 M      339.7
50436   50.9 0.65 0.61 M      339.6
50437   50.9 0.65 0.61 M      339.6
50438   50.9 0.65 0.61 M      339.6
50439   50.9 0.65 0.61 M      339.6
50440   50.9 0.65 0.61 M      339.6
50441   50.9 0.65 0.61 M      339.6
50442   50.9 0.65 0.61 M      339.6
50443   50.9 0.65 0.61 M      339.6
50444   50.9 0.65 0.61 M      339.6
50445   50.9 0.65 0.61 M      339.6
50446   50.9 0.65 0.61 M      339.5
50447   50.9 0.65 0.61 M      339.5
50448   50.9 0.65 0.61 M      339.5
50449   50.9 0.65 0.61 M      339.5
50450   50.9 0.65 0.61 M      339.5
50451   50.9 0.65 0.61 M      339.5
50452   50.9 0.65 0.61 M      339.5
50453   50.9 0.65 0.61 M      339.5
50454   50.9 0.65 0.61 M      339.5
50455   50.9 0.65 0.61 M      339.5
50456   50.9 0.65 0.61 M      339.4
50457   50.9 0.65 0.61 M      339.4
50458   50.9 0.65 0.61 M      339.4
50459   50.9 0.65 0.61 M      339.4
50460   50.9 0.65 0.61 M      339.4
50461   50.9 0.65 0.61 M      339.4
50462   50.9 0.65 0.61 M      339.4
50463   50.9 0.65 0.61 M      339.4
50464   50.9 0.65 0.61 M      339.4
50465   50.9 0.65 0.61 M      339.4
50466   51.0 0.65 0.61 M      339.3
50467   51.0 0.65 0.61 M      339.3
50468   51.0 0.65 0.61 M      339.3
50469   51.0 0.65 0.61 M      339.3
50470   51.0 0.65 0.61 M      339.3
50471   51.0 0.65 0.61 M      339.3
50472   51.0 0.65 0.61 M      339.3
50473   51.0 0.65 0.61 M      339.3
50474   51.0 0.65 0.61 M      339.3
50475   51.0 0.65 0.61 M      339.3
50476   51.0 0.65 0.61 M      339.2
50477   51.0 0.65 0.61 M      339.2
50478   51.0 0.65 0.61 M      339.2
50479   51.0 0.65 0.61 M      339.2
50480   51.0 0.65 0.61 M      339.2
50481   51.0 0.65 0.61 M      339.2
50482   51.0 0.65 0.61 M      339.2
50483   51.0 0.65 0.61 M      339.2
50484   51.0 0.65 0.61 M      339.2
50485   51.0 0.65 0.61 M      339.2
50486   51.0 0.65 0.61 M      339.1
50487   51.0 0.65 0.61 M      339.1
50488   51.0 0.65 0.61 M      339.1
50489   51.0 0.65 0.61 M      339.1
50490   51.0 0.65 0.61 M      339.1
50491   51.0 0.65 0.61 M      339.1
50492   51.0 0.65 0.61 M      339.1
50493   51.0 0.65 0.61 M      339.1
50494   51.0 0.65 0.61 M      339.1
50495   51.0 0.65 0.61 M      339.1
50496   51.0 0.65 0.61 M      339.0
50497   51.0 0.65 0.61 M      339.0
50498   51.0 0.65 0.61 M      339.0
50499   51.0 0.65 0.61 M      339.0
50500   51.0 0.65 0.61 M      339.0
50501   51.0 0.65 0.61 M      339.0
50502   51.0 0.65 0.61 M      339.0
50503   51.0 0.65 0.61 M      339.0
50504   51.0 0.65 0.61 M      339.0
50505   51.0 0.65 0.61 M      339.0
50506   51.0 0.65 0.61 M      338.9
50507   51.0 0.65 0.61 M      338.9
50508   51.0 0.65 0.61 M      338.9
50509   51.0 0.65 0.61 M      338.9
50510   51.0 0.65 0.61 M      338.9
50511   51.0 0.65 0.61 M      338.9
50512   51.0 0.65 0.61 M      338.9
50513   51.0 0.65 0.61 M      338.9
50514   51.0 0.65 0.61 M      338.9
50515   51.0 0.65 0.61 M      338.9
50516   51.0 0.65 0.61 M      338.8
50517   51.0 0.65 0.61 M      338.8
50518   51.0 0.65 0.61 M      338.8
50519   51.0 0.65 0.61 M      338.8
50520   51.0 0.65 0.61 M      338.8
50521   51.0 0.65 0.61 M      338.8
50522   51.0 0.65 0.61 M      338.8
50523   51.0 0.65 0.61 M      338.8
50524   51.0 0.65 0.61 M      338.8
50525   51.0 0.65 0.61 M      338.8
50526   51.0 0.65 0.61 M      338.7
50527   51.0 0.65 0.61 M      338.7
50528   51.0 0.65 0.61 M      338.7
50529   51.0 0.65 0.61 M      338.7
50530   51.0 0.65 0.61 M      338.7
50531   51.0 0.65 0.61 M      338.7
50532   51.0 0.65 0.61 M      338.7
50533   51.0 0.65 0.61 M      338.7
50534   51.0 0.65 0.61 M      338.7
50535   51.0 0.65 0.61 M      338.7
50536   51.1 0.65 0.61 M      338.6
50537   51.1 0.65 0.61 M      338.6
50538   51.1 0.65 0.61 M      338.6
50539   51.1 0.65 0.61 M      338.6
50540   51.1 0.65 0.61 M      338.6
50541   51.1 0.65 0.61 M      338.6
50542   51.1 0.65 0.61 M      338.6
50543   51.1 0.65 0.61 M      338.6
50544   51.1 0.65 0.61 M      338.6
50545   51.1 0.65 0.61 M      338.6
50546   51.1 0.65 0.61 M      338.5
50547   51.1 0.65 0.61 M      338.5
50548   51.1 0.65 0.61 M      338.5
50549   51.1 0.65 0.61 M      338.5
50550   51.1 0.65 0.61 M      338.5
50551   51.1 0.65 0.61 M      338.5
50552   51.1 0.65 0.61 M      338.5
50553   51.1 0.65 0.61 M      338.5
50554   51.1 0.65 0.61 M      338.5
50555   51.1 0.65 0.61 M      338.5
50556   51.1 0.65 0.61 M      338.4
50557   51.1 0.65 0.61 M      338.4
50558   51.1 0.65 0.61 M      338.4
50559   51.1 0.65 0.61 M      338.4
50560   51.1 0.65 0.61 M      338.4
50561   51.1 0.65 0.61 M      338.4
50562   51.1 0.65 0.61 M      338.4
50563   51.1 0.65 0.61 M      338.4
50564   51.1 0.65 0.61 M      338.4
50565   51.1 0.65 0.61 M      338.4
50566   51.1 0.65 0.61 M      338.3
50567   51.1 0.65 0.61 M      338.3
50568   51.1 0.65 0.61 M      338.3
50569   51.1 0.65 0.61 M      338.3
50570   51.1 0.65 0.61 M      338.3
50571   51.1 0.65 0.61 M      338.3
50572   51.1 0.65 0.61 M      338.3
50573   51.1 0.65 0.61 M      338.3
50574   51.1 0.65 0.61 M      338.3
50575   51.1 0.65 0.61 M      338.3
50576   51.1 0.65 0.61 M      338.2
50577   51.1 0.65 0.61 M      338.2
50578   51.1 0.65 0.61 M      338.2
50579   51.1 0.65 0.61 M      338.2
50580   51.1 0.65 0.61 M      338.2
50581   51.1 0.65 0.61 M      338.2
50582   51.1 0.65 0.61 M      338.2
50583   51.1 0.65 0.61 M      338.2
50584   51.1 0.65 0.61 M      338.2
50585   51.1 0.65 0.61 M      338.2
50586   51.1 0.65 0.61 M      338.1
50587   51.1 0.65 0.61 M      338.1
50588   51.1 0.65 0.61 M      338.1
50589   51.1 0.65 0.61 M      338.1
50590   51.1 0.65 0.61 M      338.1
50591   51.1 0.65 0.61 M      338.1
50592   51.1 0.65 0.61 M      338.1
50593   51.1 0.65 0.61 M      338.1
50594   51.1 0.65 0.61 M      338.1
50595   51.1 0.65 0.61 M      338.1
50596   51.1 0.65 0.61 M      338.0
50597   51.1 0.65 0.61 M      338.0
50598   51.1 0.65 0.61 M      338.0
50599   51.1 0.65 0.61 M      338.0
50600   51.1 0.65 0.61 M      338.0
50601   51.1 0.65 0.61 M      338.0
50602   51.1 0.65 0.61 M      338.0
50603   51.1 0.65 0.61 M      338.0
50604   51.1 0.65 0.61 M      338.0
50605   51.1 0.65 0.61 M      338.0
50606   51.2 0.65 0.61 M      337.9
50607   51.2 0.65 0.61 M      337.9
50608   51.2 0.65 0.61 M      337.9
50609   51.2 0.65 0.61 M      337.9
50610   51.2 0.65 0.61 M      337.9
50611   51.2 0.65 0.61 M      337.9
50612   51.2 0.65 0.61 M      337.9
50613   51.2 0.65 0.61 M      337.9
50614   51.2 0.65 0.61 M      337.9
50615   51.2 0.65 0.61 M      337.9
50616   51.2 0.65 0.61 M      337.8
50617   51.2 0.65 0.61 M      337.8
50618   51.2 0.65 0.61 M      337.8
50619   51.2 0.65 0.61 M      337.8
50620   51.2 0.65 0.61 M      337.8
50621   51.2 0.65 0.61 M      337.8
50622   51.2 0.65 0.61 M      337.8
50623   51.2 0.65 0.61 M      337.8
